listing_id,date,available,price
3967347,2025-09-22,f,EUR 62.81
3967347,2025-09-29,t,EUR 61.38
3967347,2025-10-06,t,EUR 61.77
3967347,2025-10-13,f,EUR 62.52
3967347,2025-10-20,t,EUR 63.71
3967347,2025-10-27,t,EUR 66.14
3967347,2025-11-03,t,EUR 63.06
3967347,2025-11-10,t,EUR 61.29
3967347,2025-11-17,t,EUR 63.92
3967347,2025-11-24,t,EUR 66.10
3967347,2025-12-01,t,EUR 72.07
3967347,2025-12-08,t,EUR 68.41
3967347,2025-12-15,t,EUR 71.99
3967347,2025-12-22,t,EUR 73.01
3967347,2025-12-29,t,EUR 69.94
3967347,2026-01-05,f,EUR 61.85
3967347,2026-01-12,f,EUR 63.86
3967347,2026-01-19,f,EUR 64.85
3967347,2026-01-26,f,EUR 63.64
3967347,2026-02-02,f,EUR 61.87
3967347,2026-02-09,f,EUR 63.28
3967347,2026-02-16,f,EUR 63.07
3967347,2026-02-23,f,EUR 65.38
3967347,2026-03-02,f,EUR 62.34
3967347,2026-03-09,f,EUR 66.82
3967347,2026-03-16,f,EUR 65.15
3967347,2026-03-23,f,EUR 63.47
3967347,2026-03-30,f,EUR 66.52
3967347,2026-04-06,f,EUR 65.38
3967347,2026-04-13,f,EUR 61.54
3967347,2026-04-20,f,EUR 64.22
3967347,2026-04-27,f,EUR 61.55
3967347,2026-05-04,f,EUR 60.88
3967347,2026-05-11,f,EUR 64.91
3967347,2026-05-18,f,EUR 62.08
3967347,2026-05-25,f,EUR 60.81
3967347,2026-06-01,f,EUR 73.53
3967347,2026-06-08,f,EUR 70.08
3967347,2026-06-15,f,EUR 73.21
3967347,2026-06-22,f,EUR 68.93
3967347,2026-06-29,f,EUR 70.36
3967347,2026-07-06,f,EUR 72.34
3967347,2026-07-13,f,EUR 69.31
3967347,2026-07-20,f,EUR 68.95
3967347,2026-07-27,f,EUR 69.66
3967347,2026-08-03,f,EUR 71.62
3967347,2026-08-10,f,EUR 73.47
3967347,2026-08-17,f,EUR 73.00
3967347,2026-08-24,f,EUR 71.24
3967347,2026-08-31,f,EUR 71.29
3967347,2026-09-07,f,EUR 62.79
3967347,2026-09-14,f,EUR 67.17
605605,2025-09-22,t,EUR 104.85
605605,2025-09-29,t,EUR 108.42
605605,2025-10-06,t,EUR 115.12
605605,2025-10-13,t,EUR 107.30
605605,2025-10-20,f,EUR 109.54
605605,2025-10-27,t,EUR 109.29
605605,2025-11-03,t,EUR 113.20
605605,2025-11-10,t,EUR 113.81
605605,2025-11-17,t,EUR 111.59
605605,2025-11-24,t,EUR 115.33
605605,2025-12-01,t,EUR 124.52
605605,2025-12-08,t,EUR 116.25
605605,2025-12-15,t,EUR 126.28
605605,2025-12-22,t,EUR 118.03
605605,2025-12-29,t,EUR 123.39
605605,2026-01-05,t,EUR 106.11
605605,2026-01-12,t,EUR 108.71
605605,2026-01-19,t,EUR 115.20
605605,2026-01-26,t,EUR 109.72
605605,2026-02-02,t,EUR 111.14
605605,2026-02-09,t,EUR 110.21
605605,2026-02-16,t,EUR 107.02
605605,2026-02-23,t,EUR 109.00
605605,2026-03-02,t,EUR 107.80
605605,2026-03-09,t,EUR 111.93
605605,2026-03-16,t,EUR 111.59
605605,2026-03-23,t,EUR 108.05
605605,2026-03-30,t,EUR 105.37
605605,2026-04-06,t,EUR 108.16
605605,2026-04-13,t,EUR 114.31
605605,2026-04-20,t,EUR 107.61
605605,2026-04-27,t,EUR 110.11
605605,2026-05-04,t,EUR 105.58
605605,2026-05-11,t,EUR 111.10
605605,2026-05-18,t,EUR 115.14
605605,2026-05-25,t,EUR 106.05
605605,2026-06-01,t,EUR 122.49
605605,2026-06-08,t,EUR 117.33
605605,2026-06-15,t,EUR 120.42
605605,2026-06-22,t,EUR 123.55
605605,2026-06-29,t,EUR 123.93
605605,2026-07-06,t,EUR 125.03
605605,2026-07-13,t,EUR 116.55
605605,2026-07-20,t,EUR 119.49
605605,2026-07-27,t,EUR 119.22
605605,2026-08-03,f,EUR 119.05
605605,2026-08-10,f,EUR 124.71
605605,2026-08-17,t,EUR 125.68
605605,2026-08-24,f,EUR 122.78
605605,2026-08-31,t,EUR 118.06
605605,2026-09-07,f,EUR 111.17
605605,2026-09-14,f,EUR 112.79
265819,2025-09-22,f,EUR 93.15
265819,2025-09-29,f,EUR 98.59
265819,2025-10-06,t,EUR 99.48
265819,2025-10-13,t,EUR 90.89
265819,2025-10-20,f,EUR 92.46
265819,2025-10-27,f,EUR 94.41
265819,2025-11-03,f,EUR 97.08
265819,2025-11-10,f,EUR 98.09
265819,2025-11-17,f,EUR 95.49
265819,2025-11-24,f,EUR 91.90
265819,2025-12-01,f,EUR 101.09
265819,2025-12-08,f,EUR 102.03
265819,2025-12-15,f,EUR 104.24
265819,2025-12-22,f,EUR 108.69
265819,2025-12-29,f,EUR 108.71
265819,2026-01-05,f,EUR 99.39
265819,2026-01-12,f,EUR 93.60
265819,2026-01-19,f,EUR 91.07
265819,2026-01-26,f,EUR 92.72
265819,2026-02-02,f,EUR 97.98
265819,2026-02-09,f,EUR 97.72
265819,2026-02-16,f,EUR 92.70
265819,2026-02-23,f,EUR 98.91
265819,2026-03-02,f,EUR 93.81
265819,2026-03-09,f,EUR 91.73
265819,2026-03-16,f,EUR 93.12
265819,2026-03-23,f,EUR 98.07
265819,2026-03-30,f,EUR 97.38
265819,2026-04-06,f,EUR 92.00
265819,2026-04-13,f,EUR 95.48
265819,2026-04-20,f,EUR 95.61
265819,2026-04-27,f,EUR 94.46
265819,2026-05-04,f,EUR 97.89
265819,2026-05-11,f,EUR 92.18
265819,2026-05-18,f,EUR 97.23
265819,2026-05-25,f,EUR 91.74
265819,2026-06-01,f,EUR 108.00
265819,2026-06-08,f,EUR 107.49
265819,2026-06-15,f,EUR 104.63
265819,2026-06-22,f,EUR 102.04
265819,2026-06-29,f,EUR 107.47
265819,2026-07-06,t,EUR 106.12
265819,2026-07-13,t,EUR 105.80
265819,2026-07-20,t,EUR 108.86
265819,2026-07-27,t,EUR 102.50
265819,2026-08-03,t,EUR 106.81
265819,2026-08-10,t,EUR 104.12
265819,2026-08-17,t,EUR 106.61
265819,2026-08-24,t,EUR 105.47
265819,2026-08-31,t,EUR 108.85
265819,2026-09-07,t,EUR 98.54
265819,2026-09-14,t,EUR 96.28
829780,2025-09-22,t,EUR 176.98
829780,2025-09-29,t,EUR 167.61
829780,2025-10-06,t,EUR 167.89
829780,2025-10-13,t,EUR 176.85
829780,2025-10-20,t,EUR 176.45
829780,2025-10-27,t,EUR 168.46
829780,2025-11-03,t,EUR 177.12
829780,2025-11-10,t,EUR 180.36
829780,2025-11-17,t,EUR 173.01
829780,2025-11-24,t,EUR 178.12
829780,2025-12-01,t,EUR 195.15
829780,2025-12-08,t,EUR 190.68
829780,2025-12-15,t,EUR 193.54
829780,2025-12-22,t,EUR 186.63
829780,2025-12-29,t,EUR 184.33
829780,2026-01-05,t,EUR 178.02
829780,2026-01-12,t,EUR 173.08
829780,2026-01-19,t,EUR 180.05
829780,2026-01-26,t,EUR 177.59
829780,2026-02-02,t,EUR 182.35
829780,2026-02-09,t,EUR 172.16
829780,2026-02-16,t,EUR 179.32
829780,2026-02-23,t,EUR 170.53
829780,2026-03-02,t,EUR 181.87
829780,2026-03-09,t,EUR 173.43
829780,2026-03-16,t,EUR 166.00
829780,2026-03-23,t,EUR 170.86
829780,2026-03-30,t,EUR 179.66
829780,2026-04-06,t,EUR 180.82
829780,2026-04-13,t,EUR 171.87
829780,2026-04-20,t,EUR 172.76
829780,2026-04-27,t,EUR 165.60
829780,2026-05-04,t,EUR 165.35
829780,2026-05-11,t,EUR 165.60
829780,2026-05-18,t,EUR 172.34
829780,2026-05-25,t,EUR 179.64
829780,2026-06-01,t,EUR 190.92
